t,X_1,X_2,X_3
567.5,3147068.57618734,2443.88327274767,0
567.75,3148745.01564922,2443.85882634413,0
568,3150419.04958557,2443.83438018102,0
568.25,3152090.67795015,2443.80993425837,0
568.5,3153759.90071184,2443.78548857617,0
568.75,3155426.71785461,2443.76104313442,0
569,3157091.1293775,2443.73659793313,0
569.25,3158753.13529458,2443.71215297231,0
569.5,3160412.73563489,2443.68770825196,0
569.75,3162069.93044238,2443.66326377207,0
570,3163724.7197759,2443.63881953266,0
570.25,3165377.10370914,2443.61437553373,0
570.5,3167027.08233059,2443.58993177528,0
570.75,3168674.65574348,2443.56548825732,0
571,3170319.82406576,2443.54104497984,0
571.25,3171962.58743006,2443.51660194285,0
571.5,3173602.94598362,2443.49215914636,0
571.75,3175240.89988823,2443.46771659037,0
572,3176876.44932025,2443.44327427488,0
572.25,3178509.59447052,2443.4188321999,0
572.5,3180140.33554433,2443.39439036543,0
572.75,3181768.67276134,2443.36994877147,0
573,3183394.60635559,2443.34550741803,0
573.25,3185018.13657542,2443.32106630511,0
573.5,3186639.26368346,2443.29662543271,0
573.75,3188257.98795652,2443.27218480084,0
574,3189874.30968561,2443.2477444095,0
574.25,3191488.22917586,2443.22330425869,0
574.5,3193099.74674651,2443.19886434843,0
574.75,3194708.86273081,2443.1744246787,0
575,3196315.577476,2443.14998524952,0
575.25,3197919.8913433,2443.12554606089,0
575.5,3199521.80470784,2443.10110711281,0
575.75,3201121.31795856,2443.07666840529,0
576,3202718.43149824,2443.05222993832,0
576.25,3204313.14574345,2443.02779171192,0
576.5,3205905.46112446,2443.00335372609,0
576.75,3207495.37808521,2442.97891598082,0
577,3209082.89708329,2442.95447847613,0
577.25,3210668.01858985,2442.93004121202,0
577.5,3212250.74308963,2442.90560418848,0
577.75,3213831.0710808,2442.88116740553,0
578,3215409.003075,2442.85673086317,0
578.25,3216984.53959731,2442.8322945614,0
578.5,3218557.68118612,2442.80785850022,0
578.75,3220128.42839314,2442.78342267964,0
579,3221696.78178335,2442.75898709966,0
579.25,3223262.74193496,2442.73455176029,0
579.5,3224826.30943934,2442.71011666153,0
579.75,3226387.48490097,2442.68568180338,0
580,3227946.26893741,2442.66124718584,0
580.25,3229502.6621793,2442.63681280892,0
580.5,3231056.66527023,2442.61237867263,0
580.75,3232608.2788667,2442.58794477696,0
581,3234157.50363816,2442.56351112192,0
581.25,3235704.34026689,2442.53907770752,0
581.5,3237248.78944796,2442.51464453375,0
581.75,3238790.8518892,2442.49021160062,0
582,3240330.52831113,2442.46577890814,0
582.25,3241867.81944697,2442.4413464563,0
582.5,3243402.72604254,2442.41691424512,0
582.75,3244935.24885621,2442.39248227459,0
583,3246465.38865888,2442.36805054471,0
583.25,3247993.14623393,2442.3436190555,0
583.5,3249518.52237719,2442.31918780695,0
583.75,3251041.51789683,2442.29475679907,0
584,3252562.13361337,2442.27032603186,0
584.25,3254080.37035963,2442.24589550533,0
584.5,3255596.22898068,2442.22146521947,0
584.75,3257109.71033374,2442.1970351743,0
585,3258620.81528822,2442.17260536981,0
585.25,3260129.54472562,2442.14817580601,0
585.5,3261635.8995395,2442.12374648291,0
585.75,3263139.8806354,2442.09931740049,0
586,3264641.48893084,2442.07488855878,0
586.25,3266140.72535528,2442.05045995778,0
586.5,3267637.59085001,2442.02603159747,0
586.75,3269132.08636813,2442.00160347788,0
587,3270624.21287455,2441.977175599,0
587.25,3272113.9713459,2441.95274796084,0
587.5,3273601.36277047,2441.9283205634,0
587.75,3275086.38814818,2441.90389340668,0
588,3276569.04849056,2441.87946649069,0
588.25,3278049.34482067,2441.85503981543,0
588.5,3279527.27817306,2441.8306133809,0
588.75,3281002.84959371,2441.80618718711,0
589,3282476.06014001,2441.78176123406,0
589.25,3283946.91088071,2441.75733552175,0
589.5,3285415.40289586,2441.7329100502,0
589.75,3286881.53727674,2441.70848481939,0
590,3288345.31512588,2441.68405982934,0
590.25,3289806.73755696,2441.65963508004,0
590.5,3291265.80569477,2441.63521057151,0
590.75,3292722.52067516,2441.61078630374,0
591,3294176.88364502,2441.58636227674,0
591.25,3295628.89576221,2441.56193849051,0
591.5,3297078.55819554,2441.53751494505,0
591.75,3298525.87212465,2441.51309164038,0
592,3299970.83874005,2441.48866857648,0
592.25,3301413.45924306,2441.46424575337,0
592.5,3302853.7348457,2441.43982317105,0
592.75,3304291.6667707,2441.41540082952,0
593,3305727.25625143,2441.39097872879,0
593.25,3307160.5045319,2441.36655686885,0
593.5,3308591.41286662,2441.34213524972,0
593.75,3310019.98252064,2441.31771387139,0
594,3311446.21476946,2441.29329273387,0
594.25,3312870.110899,2441.26887183716,0
594.5,3314291.67220556,2441.24445118127,0
594.75,3315710.89999573,2441.2200307662,0
